date,AMGN,AXP,FL,GGG,JBLU,V,TRP,COT,
2016-05-12,1.16E+11,61959420000,8135712000,483731589.2,6165081000,1.87E+11,28310000000,1785000000,
2016-05-13,1.16E+11,61747560000,7917988000,477409859.6,6202404000,1.84E+11,28070000000,1751000000,
2016-05-16,1.16E+11,61699410000,8172918000,480093612.8,6215976000,1.87E+11,28680000000,1811000000,
2016-05-17,1.14E+11,60437880000,8076458000,477052025.9,6219369000,1.84E+11,28680000000,1749000000,
2016-05-18,1.15E+11,61169760000,7871136000,470611018.4,6205797000,1.86E+11,28170000000,1779000000,
2016-05-19,1.13E+11,60418620000,8068190000,465004956.4,6080256000,1.85E+11,28310000000,1787000000,
2016-05-20,1.14E+11,61554960000,7547306000,470968852.2,6144723000,1.86E+11,28610000000,1784000000,
2016-05-23,1.13E+11,61237170000,7452224000,473592966.3,6009003000,1.85E+11,28360000000,1771000000,
2016-05-24,1.16E+11,62469810000,7456358000,480570724.4,6131151000,1.91E+11,28620000000,1785000000,
2016-05-25,1.18E+11,62893530000,7556952000,478781555.7,6120972000,1.90E+11,29030000000,1765000000,
2016-05-26,1.18E+11,62816490000,7539038000,477827332.3,5995431000,1.90E+11,29170000000,1767000000,
2016-05-27,1.19E+11,63095760000,7585890000,480511085.5,6192225000,1.91E+11,29380000000,1781000000,
2016-05-31,1.20E+11,63326880000,7705776000,478721916.7,6083649000,1.90E+11,29100000000,1776000000,
2016-06-01,1.20E+11,63471330000,7565220000,480809280.2,6083649000,1.90E+11,29670000000,1784000000,
2016-06-02,1.22E+11,63952830000,7590024000,487906316.3,6097221000,1.92E+11,29790000000,1819000000,
2016-06-03,1.21E+11,63066870000,7558330000,483433394.4,6015789000,1.92E+11,30140000000,1823000000,
2016-06-06,1.22E+11,63500220000,7522502000,487131009.8,6093828000,1.93E+11,30810000000,1797000000,
2016-06-07,1.21E+11,63452070000,7603804000,485818952.7,6294015000,1.94E+11,30730000000,1980000000,
